Grid Size : 16
Mini Grid Size : 4
Saved grid
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 
0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 11 0 0 0 0 0 0 0 9 0 13 0 
6 0 0 0 2 0 3 8 0 0 0 0 0 0 7 5 
0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 
Editable
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 
1 0 0 0 1 0 1 1 0 0 0 0 0 0 1 1 
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
Answer
11 15 6 12 14 7 9 4 8 2 3 5 1 16 10 13 
13 4 16 5 8 3 2 10 9 7 12 1 11 15 6 14 
7 10 3 9 5 15 1 6 13 16 14 11 8 2 4 12 
14 8 2 1 13 16 12 11 6 15 4 10 7 5 9 3 
16 12 10 7 11 6 4 15 3 5 2 14 9 8 13 1 
6 11 13 15 2 12 3 8 10 1 16 9 14 4 7 5 
9 3 14 8 10 13 5 1 11 4 6 7 2 12 15 16 
4 1 5 2 16 14 7 9 15 12 8 13 10 6 3 11 
15 7 9 14 3 10 13 2 12 6 11 8 16 1 5 4 
2 16 11 13 4 9 8 12 1 3 5 15 6 10 14 7 
1 6 12 10 15 5 16 7 14 9 13 4 3 11 2 8 
8 5 4 3 1 11 6 14 16 10 7 2 13 9 12 15 
12 13 7 11 9 4 14 16 5 8 10 6 15 3 1 2 
5 9 1 16 6 2 11 13 4 14 15 3 12 7 8 10 
3 14 15 6 7 8 10 5 2 11 1 12 4 13 16 9 
10 2 8 4 12 1 15 3 7 13 9 16 5 14 11 6 
Hints 0/3
Difficulty : 240
